"filename", "language", "JavaScript", "JSON", "JSON with Comments", "pip requirements", "Markdown", "Python", "MS SQL", "TypeScript", "HTML", "XML", "CSS", "JavaScript JSX", "TypeScript JSX", "comment", "blank", "total"
"d:\Hackathons\Hackify 2.0\criminus\src\app\dispatch\components\VoiceSettings.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 8, 7, 140
"d:\Hackathons\Hackify 2.0\criminus\src\app\dispatch\hooks\useAIProcessing.js", "JavaScript", 295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 65, 408
"d:\Hackathons\Hackify 2.0\criminus\src\app\dispatch\hooks\useAudioRecording.js", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27, 162
"d:\Hackathons\Hackify 2.0\criminus\src\app\dispatch\hooks\useCallState.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 56
"d:\Hackathons\Hackify 2.0\criminus\src\app\dispatch\hooks\useSpeechRecognition.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 116
"d:\Hackathons\Hackify 2.0\criminus\src\app\dispatch\hooks\useVoiceSettings.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 118
"d:\Hackathons\Hackify 2.0\criminus\src\app\dispatch\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 912, 0, 81, 124, 1117
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\components\AnonymousReporting.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 24, 187
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\components\AnonymousReporting.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 338, 15, 32, 385
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\components\Chatbot.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 426, 0, 18, 31, 475
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\components\ChildSafety.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 5, 33, 234
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\components\ChildSafety.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 10, 15, 171
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\components\Defense.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 359, 0, 0, 14, 62, 435
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\components\Defense.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 397, 0, 20, 30, 447
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\components\Heatmap.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 303, 0, 8, 15, 326
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\components\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 333, 0, 1, 14, 348
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\components\Info.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 19, 140
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\components\Info.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 274, 0, 2, 11, 287
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\components\LeadPrediction.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 962, 0, 0, 22, 154, 1138
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\components\LeadPrediction.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 813, 0, 67, 79, 959
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\components\Report.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\components\Search.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 588, 0, 29, 42, 659
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\hooks\useResponsive.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 49
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 8, 69
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\Hackathons\Hackify 2.0\criminus\src\app\frontend\utils\responsive.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 13, 100
"d:\Hackathons\Hackify 2.0\criminus\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 7, 11, 76
"d:\Hackathons\Hackify 2.0\criminus\src\app\layout.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 6, 82
"d:\Hackathons\Hackify 2.0\criminus\src\app\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 1, 8, 186
"d:\Hackathons\Hackify 2.0\criminus\src\app\sensor\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 8, 84
"d:\Hackathons\Hackify 2.0\criminus\src\app\spam\layout.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Hackathons\Hackify 2.0\criminus\src\app\spam\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 443, 0, 15, 49, 507
"d:\Hackathons\Hackify 2.0\criminus\src\app\spam\page.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 394, 0, 0, 5, 70, 469
"d:\Hackathons\Hackify 2.0\criminus\src\app\supa\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 3, 14, 122
"d:\Hackathons\Hackify 2.0\criminus\src\db\schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 2, 18
"d:\Hackathons\Hackify 2.0\criminus\src\utils\linkScraper.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 71
"d:\Hackathons\Hackify 2.0\criminus\src\utils\speechUtils.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 23, 173
"d:\Hackathons\Hackify 2.0\criminus\src\utils\supabase\client.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Hackathons\Hackify 2.0\criminus\src\utils\supabase\server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"d:\Hackathons\Hackify 2.0\criminus\src\utils\voiceConfig.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 29
"d:\Hackathons\Hackify 2.0\criminus\tsconfig.json", "JSON with Comments", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 1093, 13547, 43, 7, 36, 288, 13, 29, 472, 56, 3446, 5465, 723, 734, 1527, 27479
